Product name,Clean Eats,Made Active,Elite Meals,Already Made,Total
Spaghetti Bolognese,129,16,11,7,149
Beef Chow Mein,96,7,12,42,73
Shepherd's Pie,47,0,12,14,45
Beef Burrito Bowl,60,11,24,0,95
Beef Meatballs,116,12,21,4,145
Lebanese Beef Stew,51,0,0,3,48
Mongolian Beef,100,27,0,0,127
Chicken with Vegetables,26,13,6,0,45
Chicken with Sweet Potato and Beans,60,0,14,0,74
Naked Chicken Parma,134,17,16,0,167
Chicken Pesto Pasta,78,15,24,0,117
Chicken and Broccoli Pasta,46,0,6,0,52
Butter Chicken,85,8,16,0,109
Thai Green Chicken Curry,71,17,0,0,88
Moroccan Chicken,30,0,13,3,40
Steak with Mushroom Sauce,93,9,21,11,112
Creamy Chicken & Mushroom Gnocchi,76,0,0,0,76
Roasted Lemon Chicken & Potatoes,50,4,13,0,67
Beef Lasagna,178,12,28,0,218
Bean Nachos with Rice,7,0,0,0,7
Lamb Souvlaki,112,5,0,0,117
Chicken Fajita Bowl,71,8,0,0,79
Steak On Its Own,0,4,0,0,4
Chicken On Its Own,0,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0,0,0
Baked Family Lasagna,0,0,0,0,0
