Product name,Clean Eats,Already Made,Total
Spaghetti Bolognese,78,0,78
Beef Chow Mein,45,0,45
Shepherd's Pie,27,0,27
Beef Burrito Bowl,31,0,31
Beef Meatballs,37,0,37
Lebanese Beef Stew,19,0,19
Mongolian Beef,59,0,59
Chicken with Vegetables,40,0,40
Chicken with Sweet Potato and Beans,39,0,39
Naked Chicken Parma,81,0,81
Chicken Pesto Pasta,82,0,82
Chicken and Broccoli Pasta,54,0,54
Butter Chicken,71,0,71
Thai Green Chicken Curry,28,0,28
Moroccan Chicken,25,0,25
Steak with Mushroom Sauce,52,0,52
Creamy Chicken & Mushroom Gnocchi,45,0,45
Roasted Lemon Chicken & Potatoes,67,0,67
Beef Lasagna,104,0,104
Bean Nachos with Rice,9,0,9
Lamb Souvlaki,55,0,55
Chicken Fajita Bowl,40,0,40
Steak On Its Own,0,0,0
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,2,0,2
Baked Family Lasagna,4,0,4
