Product name,Made Active,Already Made,Total
Spaghetti Bolognese,18,0,18
Beef Chow Mein,5,0,5
Shepherd's Pie,0,0,0
Beef Burrito Bowl,12,0,12
Beef Meatballs,17,0,17
Lebanese Beef Stew,0,0,0
Mongolian Beef,15,0,15
Chicken with Vegetables,17,0,17
Chicken with Sweet Potato and Beans,0,0,0
Naked Chicken Parma,22,0,22
Chicken Pesto Pasta,15,0,15
Chicken and Broccoli Pasta,0,0,0
Butter Chicken,16,0,16
Thai Green Chicken Curry,12,0,12
Moroccan Chicken,0,0,0
Steak with Mushroom Sauce,7,0,7
Creamy Chicken & Mushroom Gnocchi,0,0,0
Roasted Lemon Chicken & Potatoes,7,0,7
Beef Lasagna,25,0,25
Bean Nachos with Rice,0,0,0
Lamb Souvlaki,8,0,8
Chicken Fajita Bowl,6,0,6
Steak On Its Own,0,0,0
Chicken On Its Own,0,0,0
Family Mac and 3 Cheese Pasta Bake,0,0,0
Baked Family Lasagna,0,0,0
