Product name,Clean Eats,Made Active,Already Made,Total
Spaghetti Bolognese,297,4,0,301
Beef Chow Mein,203,9,0,212
Shepherd's Pie,139,0,0,139
Beef Burrito Bowl,176,9,0,185
Beef Meatballs,182,4,0,186
Lebanese Beef Stew,162,0,0,162
Mongolian Beef,292,10,0,302
Chicken with Vegetables,71,5,0,76
Chicken with Sweet Potato and Beans,135,0,0,135
Naked Chicken Parma,375,14,0,389
Chicken Pesto Pasta,313,17,0,330
Chicken and Broccoli Pasta,215,0,0,215
Butter Chicken,354,19,0,373
Thai Green Chicken Curry,312,15,0,327
Moroccan Chicken,118,0,0,118
Steak with Mushroom Sauce,271,13,0,284
Creamy Chicken & Mushroom Gnocchi,243,0,0,243
Roasted Lemon Chicken & Potatoes,143,8,0,151
Beef Lasagna,534,9,0,543
Bean Nachos with Rice,0,0,0,0
Lamb Souvlaki,186,10,0,196
Chicken Fajita Bowl,129,9,0,138
Steak On Its Own,0,0,0,0
Chicken On Its Own,0,0,0,0
Family Mac and 3 Cheese Pasta Bake,15,0,0,15
Baked Family Lasagna,31,0,0,31
10 PACK,0,4,0,4
