Product name,Clean Eats,Made Active,Already Made,Total,_Report settings
Spaghetti Bolognese,159,15,70,104,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Beef Chow Mein,118,2,0,120,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Shepherd's Pie,130,0,40,90,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Beef Burrito Bowl,165,15,17,163,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Beef Meatballs,152,2,12,142,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Lebanese Beef Stew,87,0,15,72,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Mongolian Beef,199,3,30,172,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Chicken with Sweet Potato and Beans,111,0,7,104,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Naked Chicken Parma,265,2,23,244,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Chicken Pesto Pasta,225,5,60,170,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Chicken and Broccoli Pasta,121,0,15,106,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Butter Chicken,256,1,25,232,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Thai Green Chicken Curry,157,2,20,139,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Moroccan Chicken,101,0,0,101,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Steak with Mushroom Sauce,256,6,60,202,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Creamy Chicken & Mushroom Gnocchi,151,0,20,131,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Roasted Lemon Chicken & Potatoes,87,2,15,74,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
Beef Lasagna,338,1,0,339,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-14T21:48:29.763688+10:00"", ""root"": ""daily_production_report_2026-09-14_00-04-34.pdf"", ""schema"": 1}"
