Product name,Clean Eats,Made Active,Already Made,Total,_Report settings
Spaghetti Bolognese,163,4,20,147,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Beef Chow Mein,94,4,10,88,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Shepherd's Pie,132,0,0,132,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Beef Burrito Bowl,159,9,0,168,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Beef Meatballs,160,8,0,168,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Lebanese Beef Stew,80,0,0,80,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Mongolian Beef,217,7,0,224,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Chicken with Sweet Potato and Beans,150,0,0,150,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Naked Chicken Parma,286,4,0,290,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Chicken Pesto Pasta,207,4,0,211,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Chicken and Broccoli Pasta,107,0,0,107,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Butter Chicken,177,6,35,148,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Thai Green Chicken Curry,142,11,0,153,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
Moroccan Chicken,76,0,30,46,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:23:27.148289+10:00"", ""root"": ""daily_production_report_2026-09-15_00-23-27_1de3e5a6e673.pdf"", ""schema"": 1}"
