Product name,Clean Eats,Made Active,Already Made,Total,_Report settings
Spaghetti Bolognese,163,1,20,144,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Beef Chow Mein,94,5,10,89,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Shepherd's Pie,132,0,0,132,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Beef Burrito Bowl,159,3,0,162,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Beef Meatballs,160,2,0,162,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Lebanese Beef Stew,80,0,0,80,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Mongolian Beef,217,3,0,220,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Chicken with Sweet Potato and Beans,150,0,0,150,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Naked Chicken Parma,286,3,0,289,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
Chicken Pesto Pasta,207,5,0,212,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-15T00:34:51.867026+10:00"", ""root"": ""daily_production_report_2026-09-15_00-34-51_6ae2e260af1f.pdf"", ""schema"": 1}"
