Product name,Clean Eats,Made Active,Already Made,Total,_Report settings
Spaghetti Bolognese,213,4,0,217,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Beef Chow Mein,166,1,0,167,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Shepherd's Pie,88,0,0,88,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Beef Burrito Bowl,193,16,0,209,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Beef Meatballs,121,3,0,124,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Lebanese Beef Stew,90,0,20,70,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Mongolian Beef,369,19,40,348,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Chicken with Sweet Potato and Beans,102,0,0,102,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Naked Chicken Parma,547,5,15,537,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
Chicken Pesto Pasta,334,12,0,346,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-18T11:58:41.598181+10:00"", ""root"": ""daily_production_report_2026-09-17_00-11-12_1989beb504f7.pdf"", ""schema"": 1}"
