Product name,Clean Eats,Made Active,Already Made,Total,_Report settings
Spaghetti Bolognese,200,3,0,203,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Beef Chow Mein,140,3,0,143,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Shepherd's Pie,117,0,0,117,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Beef Burrito Bowl,176,1,0,177,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Beef Meatballs,170,4,0,174,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Lebanese Beef Stew,94,0,0,94,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Mongolian Beef,167,4,0,171,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Chicken with Sweet Potato and Beans,132,0,0,132,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Naked Chicken Parma,380,4,0,384,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Chicken Pesto Pasta,272,14,0,286,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Chicken and Broccoli Pasta,140,0,0,140,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Butter Chicken,260,5,0,265,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Thai Green Chicken Curry,200,6,0,206,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Moroccan Chicken,115,0,0,115,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Steak with Mushroom Sauce,260,5,0,265,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Creamy Chicken & Mushroom Gnocchi,170,0,0,170,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Roasted Lemon Chicken & Potatoes,134,1,0,135,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
Beef Lasagna,287,2,290,2,"{""bulk_prepared"": {""Beef Burrito Bowl"": false, ""Beef Chow Mein"": false, ""Shepherd's Pie"": false, ""Spaghetti Bolognese"": false}, ""created_at"": ""2026-09-21T04:43:59.793194+10:00"", ""root"": ""daily_production_report_2026-09-21_04-43-59_d51629ee4446.pdf"", ""schema"": 1}"
