Product name,Clean Eats,Made Active,Already Made,Total,_Report settings
Spaghetti Bolognese,260,3,0,263,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Beef Chow Mein,102,5,0,107,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Shepherd's Pie,130,0,0,130,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Beef Burrito Bowl,200,6,0,206,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Beef Meatballs,132,3,0,135,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Lebanese Beef Stew,80,0,10,70,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Mongolian Beef,230,4,0,234,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Chicken with Sweet Potato and Beans,150,0,0,150,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Naked Chicken Parma,350,5,0,355,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Chicken Pesto Pasta,200,6,0,206,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Chicken and Broccoli Pasta,131,0,0,131,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Butter Chicken,235,8,0,243,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Thai Green Chicken Curry,133,6,0,139,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Moroccan Chicken,81,0,0,81,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Steak with Mushroom Sauce,204,5,0,209,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
Creamy Chicken & Mushroom Gnocchi,198,0,0,198,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-22T03:20:13.063467+10:00"", ""root"": ""daily_production_report_2026-09-22_03-20-13_1c3a16c1cce8.pdf"", ""schema"": 1}"
