Product name,Clean Eats,Made Active,Already Made,Total,_Report settings
Spaghetti Bolognese,190,4,130,64,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Beef Chow Mein,145,2,0,147,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Shepherd's Pie,106,0,15,91,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Beef Burrito Bowl,116,9,0,125,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Beef Meatballs,129,11,0,140,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Lebanese Beef Stew,62,0,25,37,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Mongolian Beef,198,5,30,173,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Chicken with Sweet Potato and Beans,138,0,20,118,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Naked Chicken Parma,348,7,70,285,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
Chicken Pesto Pasta,263,3,25,241,"{""bulk_prepared"": {""Beef Burrito Bowl"": true, ""Beef Chow Mein"": true, ""Shepherd's Pie"": true, ""Spaghetti Bolognese"": true}, ""created_at"": ""2026-09-24T04:03:46.013946+10:00"", ""root"": ""daily_production_report_2026-09-24_04-03-46_175d7b5d008b.pdf"", ""schema"": 1}"
